Country Name,Country Code,Series Name,1995,2000,2005,2010,2015,2020
Brazil,BRA,Agricultural land (sq. km),2278050,2283235,2288420,2318342,2354382,2387470.81
Brazil,BRA,Arable land (% of land area),5.092400941,5.437573431,5.782745922,6.150291811,6.522743098,6.895108242
Brazil,BRA,Forest area (% of land area),68.19618958,65.9343586,63.57092009,61.20748157,60.28671451,59.41747805
Brazil,BRA,Land area (sq. km),8358140,8358140,8358140,8358140,8358140,8358140
Brazil,BRA,Permanent cropland (% of land area),0.902353873,1.1272843,1.352214727,1.226588691,1.013263717,0.927957656
China,CHN,Agricultural land (sq. km),5228330,5228730,5258422.222,5274623,5237038,5206950
China,CHN,Arable land (% of land area),12.73721166,12.6797199,12.85220495,12.79608011,12.23564319,11.60625934
China,CHN,Forest area (% of land area),17.79572849,18.85347276,20.11090813,21.36832885,22.39982144,23.4313229
China,CHN,Land area (sq. km),9388240,9388220,9388211.8,9388211,9388211,9388210
China,CHN,Permanent cropland (% of land area),1.109899193,1.171681107,1.315479482,1.544490212,1.704265062,2.013163319
India,IND,Agricultural land (sq. km),1809450,1809750,1801260,1795730,1796750,1785277.59
India,IND,Arable land (% of land area),54.45699737,54.12704873,53.62724885,52.80826318,52.60780508,51.9468813
India,IND,Forest area (% of land area),22.11917166,22.733495,23.05385798,23.37422095,23.82222461,24.27022827
India,IND,Land area (sq. km),2973190,2973190,2973190,2973190,2973190,2973190
India,IND,Permanent cropland (% of land area),2.690712669,3.094319569,3.440748825,4.111745297,4.372408087,4.574211537
Russian Federation,RUS,Agricultural land (sq. km),2164000,2171620,2156800,2154940,2154940,2154940
Russian Federation,RUS,Arable land (% of land area),7.784652695,7.592419179,7.43410663,7.428098287,7.428098287,7.428098287
Russian Federation,RUS,Forest area (% of land area),49.40105187,49.40184991,49.58077733,49.77358921,49.76106301,49.78433608
Russian Federation,RUS,Land area (sq. km),16378380,16381340,16381390,16376870,16376870,16376870
Russian Federation,RUS,Permanent cropland (% of land area),0.116006589,0.113788005,0.109880785,0.10948368,0.10948368,0.10948368
United States,USA,Agricultural land (sq. km),4201390,4143990,4129396,4069917,4047187,4058103.538
United States,USA,Arable land (% of land area),19.85367334,19.14096609,18.14800828,17.24163753,17.12451161,17.24385674
United States,USA,Forest area (% of land area),33.08159442,33.13017359,33.41308372,33.74940694,33.89972254,33.86692641
United States,USA,Land area (sq. km),9158960,9161920,9161920,9147420,9147420,9147420
United States,USA,Permanent cropland (% of land area),0.251120215,0.294698055,0.294698055,0.295165194,0.295165194,0.295165194
